start:1742298346.8413 elapsed:0.011168003082275 end:1742298346.8524 memory:654704 system_usage:1.111376 user_usage:4.520599
start:1742298346.8537 elapsed:0.014312982559204 end:1742298346.868 memory:654632 system_usage:1.07926 user_usage:3.986043
start:1742298346.873 elapsed:0.046535968780518 end:1742298346.9195 memory:655160 system_usage:1.05156 user_usage:4.400084
start:1742298346.9363 elapsed:0.011806011199951 end:1742298346.9481 memory:655440 system_usage:1.080682 user_usage:4.659813
start:1742298347.6101 elapsed:0.022171020507812 end:1742298347.6323 memory:1107896 system_usage:1.054247 user_usage:4.804684
start:1742298347.645 elapsed:0.012470960617065 end:1742298347.6574 memory:654632 system_usage:0.740932 user_usage:2.664758
start:1742298347.658 elapsed:0.010519981384277 end:1742298347.6686 memory:654704 system_usage:1.089427 user_usage:3.979518
start:1742298347.6734 elapsed:0.048629999160767 end:1742298347.722 memory:655160 system_usage:1.119219 user_usage:4.561969
start:1742298347.7382 elapsed:0.011174917221069 end:1742298347.7494 memory:655440 system_usage:1.083291 user_usage:3.994134
start:1742298347.8256 elapsed:0.019278049468994 end:1742298347.8449 memory:1107896 system_usage:1.05725 user_usage:4.414749
start:1742298347.8583 elapsed:0.011384010314941 end:1742298347.8696 memory:654632 system_usage:1.057291 user_usage:4.813881
start:1742298347.871 elapsed:0.013544082641602 end:1742298347.8845 memory:654704 system_usage:1.088249 user_usage:4.667088
start:1742298347.8888 elapsed:0.046236038208008 end:1742298347.9351 memory:655160 system_usage:0.746936 user_usage:2.705771
start:1742298347.9504 elapsed:0.010925054550171 end:1742298347.9613 memory:655440 system_usage:1.092311 user_usage:3.988091
start:1742298348.0383 elapsed:0.018031120300293 end:1742298348.0563 memory:1107896 system_usage:1.125197 user_usage:4.574868
start:1742298348.0676 elapsed:0.012202024459839 end:1742298348.0798 memory:654632 system_usage:1.087499 user_usage:4.002881
start:1742298348.0812 elapsed:0.013391017913818 end:1742298348.0946 memory:654704 system_usage:1.061373 user_usage:4.425236
start:1742298348.0991 elapsed:0.046476125717163 end:1742298348.1456 memory:655160 system_usage:1.067502 user_usage:4.850826
start:1742298348.1608 elapsed:0.012022972106934 end:1742298348.1728 memory:655440 system_usage:1.094125 user_usage:4.673436
start:1742298348.2567 elapsed:0.018193960189819 end:1742298348.2749 memory:1107896 system_usage:0.749945 user_usage:2.721802
start:1742298348.286 elapsed:0.014549016952515 end:1742298348.3006 memory:654704 system_usage:1.133223 user_usage:4.581947
start:1742298348.3014 elapsed:0.011224985122681 end:1742298348.3127 memory:654632 system_usage:1.096538 user_usage:3.995895
start:1742298348.3165 elapsed:0.048648834228516 end:1742298348.3651 memory:655160 system_usage:1.092909 user_usage:4.046473
start:1742298348.3811 elapsed:0.011328935623169 end:1742298348.3924 memory:655440 system_usage:1.06433 user_usage:4.43404
start:1742298348.4684 elapsed:0.018045902252197 end:1742298348.4864 memory:1107896 system_usage:1.073302 user_usage:4.863903
start:1742298348.499 elapsed:0.01163387298584 end:1742298348.5106 memory:654632 system_usage:0.754221 user_usage:2.729801
start:1742298348.5112 elapsed:0.011764049530029 end:1742298348.523 memory:654704 system_usage:1.097363 user_usage:4.682418
start:1742298348.5274 elapsed:0.047577857971191 end:1742298348.575 memory:655160 system_usage:1.14091 user_usage:4.622689
start:1742298348.5907 elapsed:0.011008977890015 end:1742298348.6017 memory:655440 system_usage:1.101406 user_usage:4.002378
start:1742298348.7152 elapsed:0.017952919006348 end:1742298348.7331 memory:1107896 system_usage:1.096806 user_usage:4.061095
start:1742298348.746 elapsed:0.014284133911133 end:1742298348.7603 memory:654704 system_usage:1.07039 user_usage:4.443223
start:1742298348.7615 elapsed:0.014185190200806 end:1742298348.7757 memory:654632 system_usage:1.079293 user_usage:4.872837
start:1742298348.7794 elapsed:0.046304941177368 end:1742298348.8257 memory:655160 system_usage:0.761756 user_usage:2.769113
start:1742298348.8417 elapsed:0.011551856994629 end:1742298348.8532 memory:655440 system_usage:1.100485 user_usage:4.690906
start:1742298361.1927 elapsed:0.022122144699097 end:1742298361.2148 memory:1107896 system_usage:1.145127 user_usage:4.637565
start:1742298361.2282 elapsed:0.0108962059021 end:1742298361.2391 memory:654704 system_usage:1.10356 user_usage:4.011942
start:1742298361.2404 elapsed:0.012913942337036 end:1742298361.2533 memory:654632 system_usage:1.099677 user_usage:4.072619
start:1742298361.2594 elapsed:0.047761917114258 end:1742298361.3071 memory:655160 system_usage:1.074241 user_usage:4.487717
start:1742298361.3244 elapsed:0.011882066726685 end:1742298361.3363 memory:655440 system_usage:1.084109 user_usage:4.879993
start:1742298372.6636 elapsed:0.021790981292725 end:1742298372.6854 memory:1107896 system_usage:0.769778 user_usage:2.780198
start:1742298372.6975 elapsed:0.012969970703125 end:1742298372.7104 memory:654704 system_usage:1.105554 user_usage:4.69911
start:1742298372.7113 elapsed:0.011653900146484 end:1742298372.723 memory:654632 system_usage:1.151992 user_usage:4.643
start:1742298372.7279 elapsed:0.048542976379395 end:1742298372.7764 memory:655160 system_usage:1.111955 user_usage:4.052415
start:1742298372.7924 elapsed:0.013492107391357 end:1742298372.8059 memory:655440 system_usage:1.103822 user_usage:4.082135
start:1742298419.4233 elapsed:0.020388126373291 end:1742298419.4437 memory:1107896 system_usage:1.079263 user_usage:4.502789
start:1742298419.4569 elapsed:0.01512598991394 end:1742298419.472 memory:654704 system_usage:1.092057 user_usage:4.888732
start:1742298419.4728 elapsed:0.012277841567993 end:1742298419.4851 memory:654632 system_usage:0.776782 user_usage:2.78622
start:1742298419.4893 elapsed:0.04658317565918 end:1742298419.5359 memory:655160 system_usage:1.111384 user_usage:4.740499
start:1742298419.5539 elapsed:0.011303901672363 end:1742298419.5652 memory:655440 system_usage:1.155349 user_usage:4.651435
start:1742298433.4993 elapsed:0.022081851959229 end:1742298433.5213 memory:1107896 system_usage:1.115836 user_usage:4.067988
start:1742298433.5374 elapsed:0.013819932937622 end:1742298433.5512 memory:654704 system_usage:1.084341 user_usage:4.513067
start:1742298433.5525 elapsed:0.010978937149048 end:1742298433.5634 memory:654632 system_usage:1.108937 user_usage:4.08952
start:1742298433.5677 elapsed:0.047608137130737 end:1742298433.6153 memory:655160 system_usage:1.100271 user_usage:4.928695
start:1742298433.632 elapsed:0.01262903213501 end:1742298433.6446 memory:655440 system_usage:0.778827 user_usage:2.797379
start:1742298452.0029 elapsed:0.022192001342773 end:1742298452.025 memory:1107896 system_usage:1.116832 user_usage:4.754343
start:1742298452.0399 elapsed:0.011154890060425 end:1742298452.051 memory:654632 system_usage:1.160338 user_usage:4.658373
start:1742298452.0523 elapsed:0.017099142074585 end:1742298452.0694 memory:654704 system_usage:1.120889 user_usage:4.081161
start:1742298452.0742 elapsed:0.046715974807739 end:1742298452.1209 memory:655160 system_usage:1.089221 user_usage:4.555654
start:1742298452.1378 elapsed:0.012541055679321 end:1742298452.1504 memory:655440 system_usage:1.114043 user_usage:4.09687
start:1742298490.8876 elapsed:0.019086122512817 end:1742298490.9067 memory:1109176 system_usage:1.106101 user_usage:4.94292
start:1742298490.9261 elapsed:0.012722969055176 end:1742298490.9388 memory:654632 system_usage:1.119971 user_usage:4.764915
start:1742298490.9402 elapsed:0.013200998306274 end:1742298490.9534 memory:654704 system_usage:0.781745 user_usage:2.809086
start:1742298490.9581 elapsed:0.046211957931519 end:1742298491.0043 memory:655160 system_usage:1.16852 user_usage:4.69711
start:1742298491.022 elapsed:0.010869026184082 end:1742298491.0329 memory:655440 system_usage:1.125889 user_usage:4.088122
start:1742298497.107 elapsed:0.018848896026611 end:1742298497.1259 memory:1107896 system_usage:1.09132 user_usage:4.573106
start:1742298497.1442 elapsed:0.01167106628418 end:1742298497.1558 memory:654704 system_usage:1.11922 user_usage:4.104478
start:1742298497.1566 elapsed:0.012521982192993 end:1742298497.1691 memory:654632 system_usage:1.112013 user_usage:4.950511
start:1742298497.1731 elapsed:0.047867059707642 end:1742298497.221 memory:655160 system_usage:1.126008 user_usage:4.807191
start:1742298497.2369 elapsed:0.010625123977661 end:1742298497.2475 memory:655440 system_usage:0.786775 user_usage:2.815196
start:1742298511.5498 elapsed:0.021093845367432 end:1742298511.5709 memory:1107896 system_usage:1.173305 user_usage:4.71124
start:1742298511.5827 elapsed:0.011569976806641 end:1742298511.5942 memory:654632 system_usage:1.129749 user_usage:4.096594
start:1742298511.5954 elapsed:0.010890007019043 end:1742298511.6063 memory:654704 system_usage:1.096351 user_usage:4.58018
start:1742298511.6132 elapsed:0.047421932220459 end:1742298511.6607 memory:655160 system_usage:1.125153 user_usage:4.147311
start:1742298511.6783 elapsed:0.012258052825928 end:1742298511.6906 memory:655440 system_usage:1.11709 user_usage:4.95784
start:1742298546.0397 elapsed:0.02222204208374 end:1742298546.062 memory:1109176 system_usage:1.127798 user_usage:4.825368
start:1742298546.0782 elapsed:0.013315916061401 end:1742298546.0916 memory:654704 system_usage:1.178452 user_usage:4.719815
start:1742298546.0924 elapsed:0.012568950653076 end:1742298546.1049 memory:654632 system_usage:0.789681 user_usage:2.825859
start:1742298546.1097 elapsed:0.049148797988892 end:1742298546.1588 memory:655160 system_usage:1.13605 user_usage:4.139761
start:1742298546.1754 elapsed:0.011677980422974 end:1742298546.1871 memory:655440 system_usage:1.102326 user_usage:4.586
start:1742298548.1737 elapsed:0.022011995315552 end:1742298548.1957 memory:1109312 system_usage:1.129902 user_usage:4.164382
start:1742298548.2118 elapsed:0.012458086013794 end:1742298548.2243 memory:654664 system_usage:1.13205 user_usage:4.834381
start:1742298548.225 elapsed:0.012402057647705 end:1742298548.2374 memory:654736 system_usage:1.119086 user_usage:4.968823
start:1742298548.2446 elapsed:0.053833961486816 end:1742298548.2984 memory:655192 system_usage:1.187342 user_usage:4.765386
start:1742298548.3147 elapsed:0.01255202293396 end:1742298548.3273 memory:655472 system_usage:0.795042 user_usage:2.833149
start:1742298568.1844 elapsed:0.022187948226929 end:1742298568.2066 memory:1107672 system_usage:1.13988 user_usage:4.155144
start:1742298568.2195 elapsed:0.011888980865479 end:1742298568.2313 memory:654632 system_usage:1.108442 user_usage:4.592407
start:1742298568.232 elapsed:0.010834932327271 end:1742298568.2429 memory:654704 system_usage:1.134606 user_usage:4.171257
start:1742298568.25 elapsed:0.046941995620728 end:1742298568.2969 memory:655160 system_usage:1.138153 user_usage:4.875931
start:1742298568.3131 elapsed:0.011814117431641 end:1742298568.325 memory:655440 system_usage:1.123119 user_usage:4.97696
start:1742298569.0353 elapsed:0.021968126296997 end:1742298569.0572 memory:1109176 system_usage:1.191047 user_usage:4.780204
start:1742298569.069 elapsed:0.011681079864502 end:1742298569.0807 memory:654704 system_usage:0.800342 user_usage:2.840216
start:1742298569.0814 elapsed:0.011802911758423 end:1742298569.0932 memory:654632 system_usage:1.144817 user_usage:4.162881
start:1742298569.0984 elapsed:0.049039840698242 end:1742298569.1475 memory:655160 system_usage:1.116395 user_usage:4.634244
start:1742298569.1635 elapsed:0.011888980865479 end:1742298569.1754 memory:655440 system_usage:1.138848 user_usage:4.179122
start:1742298570.3084 elapsed:0.019208908081055 end:1742298570.3276 memory:1109408 system_usage:1.145233 user_usage:4.887133
start:1742298570.3423 elapsed:0.012093067169189 end:1742298570.3544 memory:654736 system_usage:1.128321 user_usage:4.984838
start:1742298570.355 elapsed:0.010909080505371 end:1742298570.3659 memory:654664 system_usage:1.197776 user_usage:4.785102
start:1742298570.3703 elapsed:0.047091960906982 end:1742298570.4174 memory:655192 system_usage:0.804304 user_usage:2.884093
start:1742298570.4332 elapsed:0.010671854019165 end:1742298570.4438 memory:655472 system_usage:1.149659 user_usage:4.169271
start:1742299124.2708 elapsed:0.023059129714966 end:1742299124.2939 memory:1214808 system_usage:1.14596 user_usage:4.196503
start:1742299124.3139 elapsed:0.015449047088623 end:1742299124.3294 memory:752200 system_usage:1.148373 user_usage:4.899726
start:1742299124.3302 elapsed:0.014446020126343 end:1742299124.3447 memory:752128 system_usage:1.134157 user_usage:4.994095
start:1742299124.3492 elapsed:0.049165010452271 end:1742299124.3984 memory:752656 system_usage:1.207939 user_usage:4.824753
start:1742299124.4158 elapsed:0.014002084732056 end:1742299124.4298 memory:752936 system_usage:0.80729 user_usage:2.895042
start:1742299129.7448 elapsed:0.021697044372559 end:1742299129.7665 memory:1118456 system_usage:1.153763 user_usage:4.186656
start:1742299129.783 elapsed:0.012360095977783 end:1742299129.7954 memory:654768 system_usage:1.150894 user_usage:4.20523
start:1742299129.796 elapsed:0.011116027832031 end:1742299129.8072 memory:654696 system_usage:1.12945 user_usage:4.65434
start:1742299129.8115 elapsed:0.047545194625854 end:1742299129.8591 memory:655224 system_usage:1.152396 user_usage:4.944023
start:1742299129.8755 elapsed:0.010757923126221 end:1742299129.8862 memory:655504 system_usage:1.138388 user_usage:5.001101
start:1742299136.0209 elapsed:0.011376857757568 end:1742299136.0323 memory:659072 system_usage:1.210036 user_usage:4.835142
start:1742299136.0399 elapsed:0.010621070861816 end:1742299136.0505 memory:659040 system_usage:1.214307 user_usage:4.842213
start:1742299153.9625 elapsed:0.022155046463013 end:1742299153.9847 memory:1134712 system_usage:0.809535 user_usage:2.912928
start:1742299153.9987 elapsed:0.017277956008911 end:1742299154.016 memory:654696 system_usage:1.16048 user_usage:4.197588
start:1742299154.0174 elapsed:0.013180017471313 end:1742299154.0305 memory:654768 system_usage:1.158799 user_usage:4.211808
start:1742299154.0801 elapsed:0.048259973526001 end:1742299154.1283 memory:655224 system_usage:1.137612 user_usage:4.695037
start:1742299154.129 elapsed:0.010215997695923 end:1742299154.1393 memory:659040 system_usage:1.155411 user_usage:4.95205
start:1742299154.153 elapsed:0.018553018569946 end:1742299154.1715 memory:659072 system_usage:1.161331 user_usage:4.965622
start:1742299154.1722 elapsed:0.011711835861206 end:1742299154.1839 memory:655504 system_usage:1.142089 user_usage:5.00978
start:1742299228.0382 elapsed:0.023778915405273 end:1742299228.062 memory:1120040 system_usage:1.222857 user_usage:4.855406
start:1742299228.08 elapsed:0.01253604888916 end:1742299228.0925 memory:654768 system_usage:0.813782 user_usage:2.921809
start:1742299228.0934 elapsed:0.012864828109741 end:1742299228.1063 memory:654696 system_usage:1.168227 user_usage:4.203612
start:1742299228.1501 elapsed:0.012544870376587 end:1742299228.1626 memory:659040 system_usage:1.16261 user_usage:4.22111
start:1742299228.1736 elapsed:0.048073053359985 end:1742299228.2217 memory:655224 system_usage:1.170703 user_usage:4.262482
start:1742299228.2458 elapsed:0.0098490715026855 end:1742299228.2557 memory:659072 system_usage:1.14235 user_usage:4.700904
start:1742299228.2566 elapsed:0.010083913803101 end:1742299228.2667 memory:655504 system_usage:1.146917 user_usage:5.01601
start:1742299241.7521 elapsed:0.022365808486938 end:1742299241.7745 memory:1118376 system_usage:1.171129 user_usage:4.975539
start:1742299241.791 elapsed:0.011454820632935 end:1742299241.8024 memory:654696 system_usage:1.226922 user_usage:4.863655
start:1742299241.8031 elapsed:0.012181997299194 end:1742299241.8153 memory:654768 system_usage:0.816756 user_usage:2.931716
start:1742299241.842 elapsed:0.046328783035278 end:1742299241.8883 memory:655224 system_usage:1.175215 user_usage:4.24361
start:1742299241.9075 elapsed:0.010013818740845 end:1742299241.9175 memory:655504 system_usage:1.172921 user_usage:4.271281
start:1742299257.8809 elapsed:0.022817850112915 end:1742299257.9037 memory:1216688 system_usage:1.150945 user_usage:5.032135
start:1742299257.918 elapsed:0.011563062667847 end:1742299257.9296 memory:752280 system_usage:1.147517 user_usage:4.708536
start:1742299257.9302 elapsed:0.011729001998901 end:1742299257.942 memory:752208 system_usage:1.175036 user_usage:4.984088
start:1742299257.9477 elapsed:0.047714948654175 end:1742299257.9955 memory:752736 system_usage:1.232197 user_usage:4.906769
start:1742299258.0116 elapsed:0.011628866195679 end:1742299258.0232 memory:656352 system_usage:0.821803 user_usage:2.938871
start:1742299282.194 elapsed:0.023256063461304 end:1742299282.2173 memory:1297088 system_usage:1.180738 user_usage:4.258484
